Title,Authors,Journal,Publication date,Research area,Cell Line,Cell Type,Species,Analyzer,XF Assay,Plate Reader Assay,Seeding density,Plate coating
Oxidative phosphorylation activation is an important characteristic of DOX resistance in hepatocellular carcinoma cells,"L. Wu, J. Zhao, K. Cao, X. Liu, H. Cai, J. Wang, W. Li and Z. Chen",Cell Commun Signal,Feb 5 2018 12:00 AM,Hepatobiology Research,SMMC-7721,Hepatoma,Human,96,Cell Mitochondrial Stress Test,,2.0 x10^4 cells/well,Not Specified
Oxidative phosphorylation activation is an important characteristic of DOX resistance in hepatocellular carcinoma cells,"L. Wu, J. Zhao, K. Cao, X. Liu, H. Cai, J. Wang, W. Li and Z. Chen",Cell Commun Signal,Feb 5 2018 12:00 AM,Cancer Research,SMMC-7721,Hepatoma,Human,96,Cell Mitochondrial Stress Test,,2.0 x10^4 cells/well,Not Specified
Oxidative phosphorylation activation is an important characteristic of DOX resistance in hepatocellular carcinoma cells,"L. Wu, J. Zhao, K. Cao, X. Liu, H. Cai, J. Wang, W. Li and Z. Chen",Cell Commun Signal,Feb 5 2018 12:00 AM,Drug Discovery,SMMC-7721,Hepatoma,Human,96,Cell Mitochondrial Stress Test,,2.0 x10^4 cells/well,Not Specified
Oxidative phosphorylation activation is an important characteristic of DOX resistance in hepatocellular carcinoma cells,"L. Wu, J. Zhao, K. Cao, X. Liu, H. Cai, J. Wang, W. Li and Z. Chen",Cell Commun Signal,Feb 5 2018 12:00 AM,Hepatobiology Research,SMMC-7721,Hepatoma,Human,96,Glycolysis Stress Test,,2.0 x10^4 cells/well,Not Specified
Oxidative phosphorylation activation is an important characteristic of DOX resistance in hepatocellular carcinoma cells,"L. Wu, J. Zhao, K. Cao, X. Liu, H. Cai, J. Wang, W. Li and Z. Chen",Cell Commun Signal,Feb 5 2018 12:00 AM,Cancer Research,SMMC-7721,Hepatoma,Human,96,Glycolysis Stress Test,,2.0 x10^4 cells/well,Not Specified
Oxidative phosphorylation activation is an important characteristic of DOX resistance in hepatocellular carcinoma cells,"L. Wu, J. Zhao, K. Cao, X. Liu, H. Cai, J. Wang, W. Li and Z. Chen",Cell Commun Signal,Feb 5 2018 12:00 AM,Drug Discovery,SMMC-7721,Hepatoma,Human,96,Glycolysis Stress Test,,2.0 x10^4 cells/well,Not Specified
Oxidative Post-Translational Modifications Develop LONP1 Dysfunction in Pressure Overload Heart Failure,"Hoshino A, Okawa Y, Ariyoshi M, Kaimoto S, Uchihashi M, Fukai K, Iwai-Kanai E, Matoba S",Circ Heart Fail.,Apr 1 2014 12:00 AM,Cell Physiology Research,Isolated mitochondria,Isolated mitochondria,Rat,24,Substrate utilization,,2-10 ug protein/well,Not Specified
"Oxidative stress - a key emerging impact factor in health, ageing, lifestyle and aesthetics","Kandola K, Bowman A, Birch-Machin MA",Int J Cosmet Sci,Dec 1 2015 12:00 AM,Cell Physiology Research,N/A (review),Not Specified,N/A (review),96,Review Article,,Not Specified,Not Specified
Oxidative Stress Challenge Uncovers Trichloroacetaldehyde Hydrate-Induced Mitoplasticity in Autistic and Control Lymphoblastoid Cell Lines,"R. E. Frye, S. Rose, R. Wynne, S. C. Bennuri, S. Blossom, K. M. Gilbert, L. Heilbrun and R. F. Palmer",Sci Rep,Jun 30 2017 12:00 AM,Toxicology Research,AD-A lymphomas,Lymphoma cells,Human,96,Cell Mitochondrial Stress Test,,1.1 x10^5 cells/well,Poly-D-lysine
Oxidative Stress Challenge Uncovers Trichloroacetaldehyde Hydrate-Induced Mitoplasticity in Autistic and Control Lymphoblastoid Cell Lines,"R. E. Frye, S. Rose, R. Wynne, S. C. Bennuri, S. Blossom, K. M. Gilbert, L. Heilbrun and R. F. Palmer",Sci Rep,Jun 30 2017 12:00 AM,Cell Physiology Research,AD-A lymphomas,Lymphoma cells,Human,96,Cell Mitochondrial Stress Test,,1.1 x10^5 cells/well,Poly-D-lysine
Oxidative Stress Challenge Uncovers Trichloroacetaldehyde Hydrate-Induced Mitoplasticity in Autistic and Control Lymphoblastoid Cell Lines,"R. E. Frye, S. Rose, R. Wynne, S. C. Bennuri, S. Blossom, K. M. Gilbert, L. Heilbrun and R. F. Palmer",Sci Rep,Jun 30 2017 12:00 AM,Mitochondrial Disease Research,AD-A lymphomas,Lymphoma cells,Human,96,Cell Mitochondrial Stress Test,,1.1 x10^5 cells/well,Poly-D-lysine
Oxidative Stress Challenge Uncovers Trichloroacetaldehyde Hydrate-Induced Mitoplasticity in Autistic and Control Lymphoblastoid Cell Lines,"R. E. Frye, S. Rose, R. Wynne, S. C. Bennuri, S. Blossom, K. M. Gilbert, L. Heilbrun and R. F. Palmer",Sci Rep,Jun 30 2017 12:00 AM,Toxicology Research,AD-N lymphomas,Lymphoma cells,Human,96,Cell Mitochondrial Stress Test,,1.1 x10^5 cells/well,Poly-D-lysine
Oxidative Stress Challenge Uncovers Trichloroacetaldehyde Hydrate-Induced Mitoplasticity in Autistic and Control Lymphoblastoid Cell Lines,"R. E. Frye, S. Rose, R. Wynne, S. C. Bennuri, S. Blossom, K. M. Gilbert, L. Heilbrun and R. F. Palmer",Sci Rep,Jun 30 2017 12:00 AM,Cell Physiology Research,AD-N lymphomas,Lymphoma cells,Human,96,Cell Mitochondrial Stress Test,,1.1 x10^5 cells/well,Poly-D-lysine
Oxidative Stress Challenge Uncovers Trichloroacetaldehyde Hydrate-Induced Mitoplasticity in Autistic and Control Lymphoblastoid Cell Lines,"R. E. Frye, S. Rose, R. Wynne, S. C. Bennuri, S. Blossom, K. M. Gilbert, L. Heilbrun and R. F. Palmer",Sci Rep,Jun 30 2017 12:00 AM,Mitochondrial Disease Research,AD-N lymphomas,Lymphoma cells,Human,96,Cell Mitochondrial Stress Test,,1.1 x10^5 cells/well,Poly-D-lysine
Oxidative stress impairs energy metabolism in primary cells and synovial tissue of patients with rheumatoid arthritis,"E. Balogh, D. J. Veale, T. McGarry, C. Orr, Z. Szekanecz, C. T. Ng, U. Fearon and M. Biniecka",Arthritis Res Ther,May 29 2018 12:00 AM,Immunology Research,HUVEC,Umbilical Cells,Human,24,Cell Mitochondrial Stress Test,,3.0 x10^4 cells/well,Not Specified
Oxidative stress impairs energy metabolism in primary cells and synovial tissue of patients with rheumatoid arthritis,"E. Balogh, D. J. Veale, T. McGarry, C. Orr, Z. Szekanecz, C. T. Ng, U. Fearon and M. Biniecka",Arthritis Res Ther,May 29 2018 12:00 AM,Stem Cell Biology,HUVEC,Umbilical Cells,Human,24,Cell Mitochondrial Stress Test,,3.0 x10^4 cells/well,Not Specified
Oxidative Stress Induces Mitochondrial Dysfunction in a Subset of Autism Lymphoblastoid Cell Lines in a Well-Matched Case Control Cohort,"Rose S, Frye R E, Slattery J, Wynne R, Tippett M, Pavliv O, Melnyk S and James S J",PloS one,Jan 1 2014 12:00 AM,Translational Research,Lymphoblasts,Immune Cells,Human,96,Cell Mitochondrial Stress Test,,1.1x10^5 cells/well,poly-D-lysine (50 ug/ml)
Oxidative Stress Induces Mitochondrial Dysfunction in a Subset of Autism Lymphoblastoid Cell Lines in a Well-Matched Case Control Cohort,"Rose S, Frye R E, Slattery J, Wynne R, Tippett M, Pavliv O, Melnyk S and James S J",PloS one,Jan 1 2014 12:00 AM,Translational Research,Lymphoblasts,Immune Cells,Human,96,Cell Mitochondrial Stress Test,,1.1x10^5 cells/well,poly-D-lysine (50 ug/ml)
Oxidative stress induces mitochondrial dysfunction in a subset of autistic lymphoblastoid cell lines,"Rose S, Frye RE, Slattery J, Wynne R, Tippett M, Melnyk S, James SJ.",Transl Psychiatry,Apr 1 2014 12:00 AM,Translational Research,Lymphoblastoids,Immune Cells,Human,96,Cell Mitochondrial Stress Test,,1.1x10^5 cells/well,poly-D-lysine (50ug/ml)
Oxidative stress regulates cellular bioenergetics in esophageal squamous cell carcinoma cell,"Zhang X, Lan L, Niu L, Lu J, Li C, Guo M, Mo S, Lu J, Liu YLu B",Biosci Rep,Oct 12 2017 12:00 AM,Cancer Research,TE-1,Esophageal Cancer Cells,Human,96,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Oxidative stress suppresses the cellular bioenergetic effect of the 3-mercaptopyruvate sulfurtransferase/hydrogen sulfide pathway,"Modis K, Asimakopoulou A, Coletta C, Papapetropoulos A, Szabo C",Biochem Biophys Res Commun,Apr 1 2013 12:00 AM,Cell Physiology Research,Hepa1c1c7,Hepatocytes,Mouse,24,Cell Mitochondrial Stress Test,,3.5x10^4 cells/0.32 cm2,Not Specified
Oxidative stress via inhibition of the mitochondrial electron transport and Nrf-2-mediated anti-oxidative response regulate the cytotoxic activity of plumbagin,"A. Kapur, T. Beres, K. Rathi, A. P. Nayak, A. Czarnecki, M. Felder, A. Gillette, S. S. Ericksen, E. Sampene, M. C. Skala, L. Barroilhet and M. S. Patankar",Sci Rep,Jan 18 2018 12:00 AM,Drug Discovery,SKOV3,Ovarian Cancer Cells,Human,96,Cell Mitochondrial Stress Test,,1.5 x10^4 cells/well,Not Specified
Oxidative stress via inhibition of the mitochondrial electron transport and Nrf-2-mediated anti-oxidative response regulate the cytotoxic activity of plumbagin,"A. Kapur, T. Beres, K. Rathi, A. P. Nayak, A. Czarnecki, M. Felder, A. Gillette, S. S. Ericksen, E. Sampene, M. C. Skala, L. Barroilhet and M. S. Patankar",Sci Rep,Jan 18 2018 12:00 AM,Cancer Research,SKOV3,Ovarian Cancer Cells,Human,96,Cell Mitochondrial Stress Test,,1.5 x10^4 cells/well,Not Specified
Oxidative stress via inhibition of the mitochondrial electron transport and Nrf-2-mediated anti-oxidative response regulate the cytotoxic activity of plumbagin,"A. Kapur, T. Beres, K. Rathi, A. P. Nayak, A. Czarnecki, M. Felder, A. Gillette, S. S. Ericksen, E. Sampene, M. C. Skala, L. Barroilhet and M. S. Patankar",Sci Rep,Jan 18 2018 12:00 AM,Toxicology Research,SKOV3,Ovarian Cancer Cells,Human,96,Cell Mitochondrial Stress Test,,1.5 x10^4 cells/well,Not Specified
Oxidative Stress-Induced Dysfunction of M�ller Cells During Starvation,"Toft-Kehler AK, Gurubaran IS, Desler C, Rasmussen LJ, Skytt DM, Kolko M",Invest Ophthalmol Vis Sci,May 1 2016 12:00 AM,Neurobiology Research,Muller glia,Retinal Cells,Human,24,Substrate utilization,,2.5 x10^5 cells/well,Not Specified
Oxidative stress-induced mitochondrial dysfunction drives inflammation and airway smooth muscle remodeling in patients with chronic obstructive pulmonary disease,"Wiegman CH, Michaeloudes C, Haji G, Narang P, Clarke CJ, Russell KE, Bao W, Pavlidis S, Barnes PJ, Kanerva J, Bittner A, Rao N, Murphy MP, Kirkham PA, Chung KF, Adcock IM; COPDMAP",J Allergy Clin Immunol,Mar 1 2015 12:00 AM,Translational Research,Airway Smooth Muscle Cells,Lung Cells,Human,24,Cell Mitochondrial Stress Test,,1.0 x 10^5 cells/well,Not Specified
Oxidative stress-induced mitochondrial dysfunction drives inflammation and airway smooth muscle remodeling in patients with chronic obstructive pulmonary disease,"Wiegman CH, Michaeloudes C, Haji G, Narang P, Clarke CJ, Russell KE, Bao W, Pavlidis S, Barnes PJ, Kanerva J, Bittner A, Rao N, Murphy MP, Kirkham PA, Chung KF, Adcock IM; COPDMAP",J Allergy Clin Immunol,Mar 1 2015 12:00 AM,Drug Discovery,Airway Smooth Muscle Cells,Lung Cells,Human,24,Cell Mitochondrial Stress Test,,1.0 x 10^5 cells/well,Not Specified
Oxidized Ferric and Ferryl Forms of Hemoglobin Trigger Mitochondrial Dysfunction and Injury in Alveolar Type I Cells,"Chintagari NR, Jana S, Alayash AI",Am J Respir Cell Mol Biol,Mar 1 2016 12:00 AM,Cell Physiology Research,E10,Lung Cells,Mouse,24,Cell Mitochondrial Stress Test,,2.0 x10^4 cells/well,Not Specified
Oxidized phospholipids regulate amino acid metabolism through MTHFD2 to facilitate nucleotide release in endothelial cells,"J. Hitzel, E. Lee, Y. Zhang, S. I. Bibli, X. Li, S. Zukunft, B. Pfluger, J. Hu, C. Schurmann, A. E. Vasconez, J. A. Oo, A. Kratzer, S. Kumar, F. Rezende, I. Josipovic, D. Thomas, H. Giral, Y. Schreiber, G. Geisslinger, C. Fork, X. Yang, F. Sigala, C. E. R",Nat Commun,Jun 12 2018 12:00 AM,Cardiovascular Research,Whole embryo,Zebrafish,Zebrafish,96,Cell Mitochondrial Stress Test,,1.0 x10^4 cells/well,Not Specified
Oxidized phospholipids regulate amino acid metabolism through MTHFD2 to facilitate nucleotide release in endothelial cells,"J. Hitzel, E. Lee, Y. Zhang, S. I. Bibli, X. Li, S. Zukunft, B. Pfluger, J. Hu, C. Schurmann, A. E. Vasconez, J. A. Oo, A. Kratzer, S. Kumar, F. Rezende, I. Josipovic, D. Thomas, H. Giral, Y. Schreiber, G. Geisslinger, C. Fork, X. Yang, F. Sigala, C. E. R",Nat Commun,Jun 12 2018 12:00 AM,Cell Physiology Research,Whole embryo,Zebrafish,Zebrafish,96,Cell Mitochondrial Stress Test,,1.0 x10^4 cells/well,Not Specified
Oxr1 improves pathogenic cellular features of ALS-associated FUS and TDP-43 mutations,"M. J. Finelli, K. X. Liu, Y. Wu, P. L. Oliver and K. E. Davies",Hum Mol Genet,Jun 15 2015 12:00 AM,Neurobiology Research,NSC-34,Neuronal Cells,Mouse,Plate Reader,,MitoXpress Xtra Oxygen Consumption Assay,3.3 x10^5 cells/cm,Not Specified
Oxygen Consumption Rate Analysis of Mitochondrial Dysfunction Caused by Bacillus cereus Cereulide in Caco-2 and HepG2 Cells,"M. Decleer, J. Jovanovic, A. Vakula, B. Udovicki, R. E. K. Agoua, A. Madder, S. De Saeger and A. Rajkovic",Toxins (Basel),Jul 2 2018 12:00 AM,Toxicology Research,Caco-2,Colon Cancer Cells,Human,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Oxygen Consumption Rate Analysis of Mitochondrial Dysfunction Caused by Bacillus cereus Cereulide in Caco-2 and HepG2 Cells,"M. Decleer, J. Jovanovic, A. Vakula, B. Udovicki, R. E. K. Agoua, A. Madder, S. De Saeger and A. Rajkovic",Toxins (Basel),Jul 2 2018 12:00 AM,Food & Nutritional Research,Caco-2,Colon Cancer Cells,Human,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Oxygen Consumption Rate Analysis of Mitochondrial Dysfunction Caused by Bacillus cereus Cereulide in Caco-2 and HepG2 Cells,"M. Decleer, J. Jovanovic, A. Vakula, B. Udovicki, R. E. K. Agoua, A. Madder, S. De Saeger and A. Rajkovic",Toxins (Basel),Jul 2 2018 12:00 AM,Toxicology Research,HepG2,Hepatocarcinoma Cells,Human,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Oxygen Consumption Rate Analysis of Mitochondrial Dysfunction Caused by Bacillus cereus Cereulide in Caco-2 and HepG2 Cells,"M. Decleer, J. Jovanovic, A. Vakula, B. Udovicki, R. E. K. Agoua, A. Madder, S. De Saeger and A. Rajkovic",Toxins (Basel),Jul 2 2018 12:00 AM,Food & Nutritional Research,HepG2,Hepatocarcinoma Cells,Human,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Oxygen delivery from hyperbarically loaded microtanks extends cell viability in anoxic environments,"Cook CA, Hahn KC, Morrissette-McAlmon JB, Grayson WL",Biomaterials,Mar 1 2015 12:00 AM,Cell Metabolism in Technology,PCL disk,Polymer disk,Human,24,Basal Metabolic Assay,,Not Specified,Not Specified
Oxygen environment and islet size are the primary limiting factors of isolated pancreatic islet survival,"Komatsu H, Cook C, Wang CH, Medrano L, Lin H, Kandeel F, Tai YCMullen Y",PLoS One,Aug 23 2017 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",IT-1,Pancreatic Cells,Mouse,24,Basal Metabolic Assay,,2.0 x10^4 cells/well,Not Specified
Oxygen environment and islet size are the primary limiting factors of isolated pancreatic islet survival,"Komatsu H, Cook C, Wang CH, Medrano L, Lin H, Kandeel F, Tai YCMullen Y",PLoS One,Aug 23 2017 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",INS-1,Pancreatic Cells,Rat,24,Basal Metabolic Assay,,2.0 x10^4 cells/well,Not Specified
Oxygen environment and islet size are the primary limiting factors of isolated pancreatic islet survival,"Komatsu H, Cook C, Wang CH, Medrano L, Lin H, Kandeel F, Tai YCMullen Y",PLoS One,Aug 23 2017 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",alpha TC1 clone 6,Pancreatic Cells,Mouse,24,Basal Metabolic Assay,,2.0 x10^4 cells/well,Not Specified
Oxygen environment and islet size are the primary limiting factors of isolated pancreatic islet survival,"Komatsu H, Cook C, Wang CH, Medrano L, Lin H, Kandeel F, Tai YCMullen Y",PLoS One,Aug 23 2017 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",Islets,Pancreatic Cells,Mouse,24,Basal Metabolic Assay,,2.0 x10^4 cells/well,Not Specified
Oxygen Sensing by T Cells Establishes an Immunologically Tolerant Metastatic Niche,"Clever D, Roychoudhuri R, Constantinides MG, Askenase MH, Sukumar M, Klebanoff CA, Eil RL, Hickman HD, Yu Z, Pan JH, Palmer DC, Phan AT, Goulding J, Gattinoni L, Goldrath AW, Belkaid Y, Restifo NP",Cell,Aug 1 2016 12:00 AM,Immunology Research,T-cells,T-cells,Mouse,24,Basal Metabolic Assay,,Not Specified,Not Specified
Oxygen Sensing by T Cells Establishes an Immunologically Tolerant Metastatic Niche,"Clever D, Roychoudhuri R, Constantinides MG, Askenase MH, Sukumar M, Klebanoff CA, Eil RL, Hickman HD, Yu Z, Pan JH, Palmer DC, Phan AT, Goulding J, Gattinoni L, Goldrath AW, Belkaid Y, Restifo NP",Cell,Aug 1 2016 12:00 AM,Cancer Research,T-cells,T-cells,Mouse,24,Basal Metabolic Assay,,Not Specified,Not Specified
Oxysterol Restraint of Cholesterol Synthesis Prevents AIM2 Inflammasome Activation,"Dang EV, McDonald JG, Russell DWCyster JG",Cell,Oct 7 2017 12:00 AM,Immunology Research,Bone Marrow-Derived Macrophages (BMDM),Immune Cells,Mouse,24,Cell Mitochondrial Stress Test,,2.0 x10^5 cells/well,Not Specified
Oxysterol Signatures Distinguish Age-Related Macular Degeneration from Physiologic Aging,"J. B. Lin, A. Sene, A. Santeford, H. Fujiwara, R. Sidhu, M. M. Ligon, V. A. Shankar, N. Ban, I. U. Mysorekar, D. S. Ory and R. S. Apte",EBioMedicine,Jun 11 2018 12:00 AM,Immunology Research,Macrophage,Immune Cells,Mouse,96,Cell Mitochondrial Stress Test,,1.0 x10^5 cells/well,Not Specified
Oxysterol Signatures Distinguish Age-Related Macular Degeneration from Physiologic Aging,"J. B. Lin, A. Sene, A. Santeford, H. Fujiwara, R. Sidhu, M. M. Ligon, V. A. Shankar, N. Ban, I. U. Mysorekar, D. S. Ory and R. S. Apte",EBioMedicine,Jun 11 2018 12:00 AM,Aging Research,Macrophage,Immune Cells,Mouse,96,Cell Mitochondrial Stress Test,,1.0 x10^5 cells/well,Not Specified
Oxysterol Signatures Distinguish Age-Related Macular Degeneration from Physiologic Aging,"J. B. Lin, A. Sene, A. Santeford, H. Fujiwara, R. Sidhu, M. M. Ligon, V. A. Shankar, N. Ban, I. U. Mysorekar, D. S. Ory and R. S. Apte",EBioMedicine,Jun 11 2018 12:00 AM,Cell Physiology Research,Macrophage,Immune Cells,Mouse,96,Cell Mitochondrial Stress Test,,1.0 x10^5 cells/well,Not Specified
p16(Ink4a)-induced senescence of pancreatic _ cells enhances insulin secretion,"Helman A, Klochendler A, Azazmeh N, Gabai Y, Horwitz E, Anzi S, Swisa A, Condiotti R, Granit RZ, Nevo Y, Fixler Y, Shreibman D, Zamir A, Tornovsky-Babeay S, Dai C, Glaser B, Powers AC, Shapiro AM, Magnuson MA, Dor Y, Ben-Porath I",Nat Med,Mar 1 2016 12:00 AM,Aging Research,Islets,Pancreatic Cells,Mouse,24,Glucose Utilization,,40 islets/well,Not Specified
P300-Mediated Lysine 2-Hydroxyisobutyrylation Regulates Glycolysis,"H. Huang, S. Tang, M. Ji, Z. Tang, M. Shimada, X. Liu, S. Qi, J. W. Locasale, R. G. Roeder, Y. Zhao and X. Li",Mol Cell,May 17 2018 12:00 AM,Cell Physiology Research,HCT116,Colon Cancer Cells,Human,24,Glycolysis Stress Test,,Not Specified,Not Specified
p32 heterozygosity protects against age- and diet-induced obesity by increasing energy expenditure,"Y. Liu, P. L. Leslie, A. Jin, K. Itahana, L. M. Graves and Y. Zhang",Sci Rep,Jul 18 2017 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",MEF,Embryonic Fibroblasts,Mouse,24,Cell Mitochondrial Stress Test,,6.0 x10^4 cells/well,Not Specified
p32 heterozygosity protects against age- and diet-induced obesity by increasing energy expenditure,"Y. Liu, P. L. Leslie, A. Jin, K. Itahana, L. M. Graves and Y. Zhang",Sci Rep,Jul 18 2017 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",MEF,Embryonic Fibroblasts,Mouse,24,Fatty Acid Oxidation,,6.0 x10^4 cells/well,Not Specified
p32 heterozygosity protects against age- and diet-induced obesity by increasing energy expenditure,"Y. Liu, P. L. Leslie, A. Jin, K. Itahana, L. M. Graves and Y. Zhang",Sci Rep,Jul 18 2017 12:00 AM,Stem Cell Biology,MEF,Embryonic Fibroblasts,Mouse,24,Cell Mitochondrial Stress Test,,6.0 x10^4 cells/well,Not Specified
p32 heterozygosity protects against age- and diet-induced obesity by increasing energy expenditure,"Y. Liu, P. L. Leslie, A. Jin, K. Itahana, L. M. Graves and Y. Zhang",Sci Rep,Jul 18 2017 12:00 AM,Stem Cell Biology,MEF,Embryonic Fibroblasts,Mouse,24,Fatty Acid Oxidation,,6.0 x10^4 cells/well,Not Specified
p32 heterozygosity protects against age- and diet-induced obesity by increasing energy expenditure,"Y. Liu, P. L. Leslie, A. Jin, K. Itahana, L. M. Graves and Y. Zhang",Sci Rep,Jul 18 2017 12:00 AM,Aging Research,MEF,Embryonic Fibroblasts,Mouse,24,Cell Mitochondrial Stress Test,,6.0 x10^4 cells/well,Not Specified
p32 heterozygosity protects against age- and diet-induced obesity by increasing energy expenditure,"Y. Liu, P. L. Leslie, A. Jin, K. Itahana, L. M. Graves and Y. Zhang",Sci Rep,Jul 18 2017 12:00 AM,Aging Research,MEF,Embryonic Fibroblasts,Mouse,24,Fatty Acid Oxidation,,6.0 x10^4 cells/well,Not Specified
p32 heterozygosity protects against age- and diet-induced obesity by increasing energy expenditure,"Y. Liu, P. L. Leslie, A. Jin, K. Itahana, L. M. Graves and Y. Zhang",Sci Rep,Jul 18 2017 12:00 AM,Translational Research,MEF,Embryonic Fibroblasts,Mouse,24,Cell Mitochondrial Stress Test,,6.0 x10^4 cells/well,Not Specified
p32 heterozygosity protects against age- and diet-induced obesity by increasing energy expenditure,"Y. Liu, P. L. Leslie, A. Jin, K. Itahana, L. M. Graves and Y. Zhang",Sci Rep,Jul 18 2017 12:00 AM,Translational Research,MEF,Embryonic Fibroblasts,Mouse,24,Fatty Acid Oxidation,,6.0 x10^4 cells/well,Not Specified
p32 heterozygosity protects against age- and diet-induced obesity by increasing energy expenditure,"Y. Liu, P. L. Leslie, A. Jin, K. Itahana, L. M. Graves and Y. Zhang",Sci Rep,Jul 18 2017 12:00 AM,Modulation,MEF,Embryonic Fibroblasts,Mouse,24,Cell Mitochondrial Stress Test,,6.0 x10^4 cells/well,Not Specified
p32 heterozygosity protects against age- and diet-induced obesity by increasing energy expenditure,"Y. Liu, P. L. Leslie, A. Jin, K. Itahana, L. M. Graves and Y. Zhang",Sci Rep,Jul 18 2017 12:00 AM,Modulation,MEF,Embryonic Fibroblasts,Mouse,24,Fatty Acid Oxidation,,6.0 x10^4 cells/well,Not Specified
p32 heterozygosity protects against age- and diet-induced obesity by increasing energy expenditure,"Y. Liu, P. L. Leslie, A. Jin, K. Itahana, L. M. Graves and Y. Zhang",Sci Rep,Jul 18 2017 12:00 AM,Drug Discovery,MEF,Embryonic Fibroblasts,Mouse,24,Cell Mitochondrial Stress Test,,6.0 x10^4 cells/well,Not Specified
"p32 Protein Levels are Integral to Mitochondrial and Endoplasmic Reticulum Morphology, Cell Metabolism and Survival","Hu M, Crawford SA, Henstridge DC, Ng IH, Boey EJ, Xu Y, Febbraio MA, Jans DA, Bogoyevitch MA",Biochem J,May 1 2013 12:00 AM,Cell Physiology Research,HeLa,HeLa,Human,24,Cell Mitochondrial Stress Test,,5.0x10^4 cells/well,Not Specified
p38 signaling inhibits mTORC1-independent autophagy in senescent human CD8+ T cells,"Henson SM, Lanna A, Riddell NE, Franzese O, Macaulay R, Griffiths SJ, Puleston DJ, Watson AS, Simon AK, Tooze SA, Akbar AN",J Clin Invest,Aug 1 2014 12:00 AM,Immunology Research,T-cells,T-cells,Human,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
p38&alpha blocks brown adipose tissue thermogenesis through p38delta inhibition,"N. Matesanz, I. Nikolic, M. Leiva, M. Pulgarin-Alfaro, A. M. Santamans, E. Bernardo, A. Mora, L. Herrera-Melle, E. Rodriguez, D. Beiroa, A. Caballero, E. Martin-Garcia, R. Acin-Perez, L. Hernandez-Cosido, L. Leiva-Vega, J. L. Torres, F. Centeno, A. R. Neb",PLoS Biol,Jul 6 2018 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",Preadipocytes,Preadipocytes,Mouse,Not Specified,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
P450 3A Catalyzed O-dealkylation of Lapatinib Induces Mitochondrial Stress and Activates Nrf2,"Eno MR, El-Gendy BE, Cameron MD",Chem Res Toxicol,Mar 1 2016 12:00 AM,Cancer Research,HepG2,Hepatocarcinoma Cells,Human,24,Cell Mitochondrial Stress Test,,1.5 x10^4 cells/well,Not Specified
P450 3A Catalyzed O-dealkylation of Lapatinib Induces Mitochondrial Stress and Activates Nrf2,"Eno MR, El-Gendy BE, Cameron MD",Chem Res Toxicol,Mar 1 2016 12:00 AM,Toxicology Research,HepG2,Hepatocarcinoma Cells,Human,24,Cell Mitochondrial Stress Test,,1.5 x10^4 cells/well,Not Specified
p46Shc Inhibits Thiolase and Lipid Oxidation in Mitochondria,"Tomilov A, Tomilova N, Shan Y, Hagopian K, Bettaieb A, Kim K, Pelicci PG, Haj F, Ramsey J, Cortopassi G",J Biol Chem,Jun 1 2016 12:00 AM,Cell Physiology Research,Isolated mitochondria,Isolated mitochondria,Mouse,24,Mitochondrial Respiratory Complex Assay,,10 ug/well,Not Specified
p46Shc Inhibits Thiolase and Lipid Oxidation in Mitochondria,"Tomilov A, Tomilova N, Shan Y, Hagopian K, Bettaieb A, Kim K, Pelicci PG, Haj F, Ramsey J, Cortopassi G",J Biol Chem,Jun 1 2016 12:00 AM,Cell Physiology Research,HeLa,HeLa,Human,24,Fatty Acid Oxidation,,1.5 x10^5 cells/well,Not Specified
p46Shc Inhibits Thiolase and Lipid Oxidation in Mitochondria,"Tomilov A, Tomilova N, Shan Y, Hagopian K, Bettaieb A, Kim K, Pelicci PG, Haj F, Ramsey J, Cortopassi G",J Biol Chem,Jun 1 2016 12:00 AM,Cell Physiology Research,FL83B,Hepatocytes,Mouse,24,Fatty Acid Oxidation,,5.0 x10^4 cells/well,Not Specified
p53 DNA Binding Cooperativity Is Essential for Apoptosis and Tumor Suppression In Vivo,"Timofeev O, Schlereth K, Wanzel M, Braun A, Nieswandt B, Pagenstecher A, Rosenwald A, Elsasser HP, Stiewe T",Cell reports,May 1 2013 12:00 AM,Cancer Research,MEF,Embryonic Fibroblasts,Mouse,96,Glycolysis Stress Test,,5.0-10.0x10^3 cells/well,Not Specified
